seed,time,date,seed-date,model,peak_memory
4008,2402231217,240223,240223-4008,Stan,1422.4921875
3347,2402231217,240223,240223-3347,Stan,1422.50390625
928,2402231217,240223,240223-928,Stan,1422.39453125
6071,2402231217,240223,240223-6071,Stan,1422.34375
7724,2402231217,240223,240223-7724,Stan,1422.45703125
9724,2402231217,240223,240223-9724,Stan,1422.37890625
5235,2402231217,240223,240223-5235,Stan,1422.47265625
4379,2402231217,240223,240223-4379,Stan,1422.59375
8623,2402231217,240223,240223-8623,Stan,1422.51953125
8602,2402231217,240223,240223-8602,Stan,1422.5625
1210,2402261014,240226,240226-1210,Stan,263.05859375
222,2402261014,240226,240226-222,Stan,263.140625
2428,2402261014,240226,240226-2428,Stan,263.3359375
787,2402261015,240226,240226-787,Stan,263.12890625
5284,2402261015,240226,240226-5284,Stan,263.1171875
1740,2402261015,240226,240226-1740,Stan,263.05859375
9139,2402261015,240226,240226-9139,Stan,263.65625
1945,2402261015,240226,240226-1945,Stan,263.5625
3843,2402261016,240226,240226-3843,Stan,263.75
7218,2402261016,240226,240226-7218,Stan,263.69140625
9869,2402261016,240226,240226-9869,Stan,264.14453125
7673,2402261016,240226,240226-7673,Stan,263.83984375
2366,2402261017,240226,240226-2366,Stan,263.85546875
377,2402261017,240226,240226-377,Stan,263.6328125
4255,2402261017,240226,240226-4255,Stan,263.8515625
6354,2402261017,240226,240226-6354,Stan,263.78515625
7816,2402261017,240226,240226-7816,Stan,264.08203125
6276,2402261018,240226,240226-6276,Stan,263.80078125
9594,2402261018,240226,240226-9594,Stan,263.78515625
3162,2402261018,240226,240226-3162,Stan,263.87109375
4324,2402261018,240226,240226-4324,Stan,263.80078125
2987,2402261019,240226,240226-2987,Stan,264.078125
5299,2402261019,240226,240226-5299,Stan,263.79296875
6483,2402261019,240226,240226-6483,Stan,263.87890625
6380,2402261019,240226,240226-6380,Stan,263.89453125
1966,2402261019,240226,240226-1966,Stan,264.32421875
3583,2402261020,240226,240226-3583,Stan,263.95703125
579,2402261020,240226,240226-579,Stan,263.796875
1299,2402261020,240226,240226-1299,Stan,263.87109375
5263,2402261020,240226,240226-5263,Stan,263.78515625
